entry_time,entry_idx,entry_price,side,exit_time,exit_idx,exit_price,barrier_hit,return
2015-01-14 08:00:00,49,1.17918,-1,2015-01-14 12:00:00,50,1.17571,tp,0.0029427229091401334
2015-02-03 04:00:00,135,1.13317,1,2015-02-03 16:00:00,138,1.14605,tp,0.011366343973102008
2015-02-10 16:00:00,169,1.13144,-1,2015-02-12 00:00:00,177,1.13123,sl,0.00018560418581634332
2015-02-16 08:00:00,192,1.14187,1,2015-02-16 12:00:00,193,1.14106,sl,-0.0007093627120425069
2015-02-23 08:00:00,223,1.13425,-1,2015-02-23 12:00:00,224,1.13031,tp,0.0034736610094776767
2015-03-19 20:00:00,336,1.06583,1,2015-03-20 12:00:00,340,1.075,tp,0.008603623467156957
2015-03-31 16:00:00,383,1.07407,-1,2015-04-01 04:00:00,386,1.07811,sl,-0.003761393577699611
2015-04-06 12:00:00,407,1.0987,1,2015-04-06 16:00:00,408,1.10058,tp,0.00171111313370336
2015-04-09 20:00:00,427,1.06531,-1,2015-04-10 04:00:00,429,1.06768,sl,-0.002224704546094548
2015-04-17 16:00:00,463,1.07807,1,2015-04-17 20:00:00,464,1.08171,tp,0.0033764041296018487
2015-05-12 12:00:00,568,1.12354,-1,2015-05-12 16:00:00,569,1.12373,sl,-0.00016910835395260736
2015-05-14 04:00:00,578,1.13701,1,2015-05-14 08:00:00,579,1.13896,tp,0.001715024494067683
2015-05-20 20:00:00,607,1.11069,-1,2015-05-21 08:00:00,610,1.11351,sl,-0.0025389622666991195
2015-06-02 20:00:00,663,1.11439,1,2015-06-03 08:00:00,666,1.11399,tp,-0.0003589407658000843
2015-06-24 12:00:00,760,1.12152,-1,2015-06-24 16:00:00,761,1.11768,tp,0.0034239246736572377
2015-07-11 00:00:00,837,1.11541,1,2015-07-13 00:00:00,838,1.11285,sl,-0.0022951201800235944
2015-07-15 16:00:00,854,1.0963,-1,2015-07-16 04:00:00,857,1.09332,tp,0.0027182340600200514
2015-07-24 04:00:00,894,1.09732,1,2015-07-24 08:00:00,895,1.0942,sl,-0.0028432909269857577
2015-08-01 00:00:00,930,1.09831,-1,2015-08-03 12:00:00,934,1.09443,tp,0.003532700239458699
2015-08-11 00:00:00,968,1.10152,1,2015-08-11 04:00:00,969,1.09797,sl,-0.0032228193768612137
2015-08-19 20:00:00,1010,1.11271,-1,2015-08-20 12:00:00,1014,1.11775,sl,-0.004529482075293592
2015-08-21 04:00:00,1018,1.12739,1,2015-08-21 08:00:00,1019,1.12514,sl,-0.0019957601185036796
2015-08-31 00:00:00,1055,1.12109,-1,2015-08-31 04:00:00,1056,1.12471,sl,-0.0032290003478758875
2015-09-11 04:00:00,1111,1.12818,1,2015-09-11 12:00:00,1113,1.12639,sl,-0.0015866262475845684
2015-09-22 12:00:00,1157,1.11593,-1,2015-09-22 20:00:00,1159,1.11328,tp,0.0023747009221008852
2015-09-30 12:00:00,1194,1.12098,1,2015-09-30 16:00:00,1195,1.11616,sl,-0.004299809095612808
2015-10-05 00:00:00,1210,1.1219,-1,2015-10-05 04:00:00,1211,1.12252,sl,-0.0005526339245922676
2015-10-06 16:00:00,1220,1.12645,1,2015-10-07 08:00:00,1224,1.12335,sl,-0.0027520085223488666
2015-10-20 08:00:00,1280,1.13469,-1,2015-10-20 12:00:00,1281,1.13737,sl,-0.0023618785747649275
2015-12-03 20:00:00,1480,1.09496,1,2015-12-04 00:00:00,1481,1.09195,sl,-0.002748958866077261
2015-12-17 16:00:00,1541,1.08046,-1,2015-12-18 00:00:00,1543,1.08374,sl,-0.003035744034948031
2015-12-24 04:00:00,1569,1.09328,1,2015-12-28 00:00:00,1573,1.09685,tp,0.0032654031903995985
2016-01-04 04:00:00,1598,1.08791,-1,2016-01-04 08:00:00,1599,1.09239,sl,-0.004117987701188554
2016-01-11 16:00:00,1632,1.08771,1,2016-01-11 20:00:00,1633,1.08518,sl,-0.0023259876253780157
2016-01-22 20:00:00,1688,1.07965,-1,2016-01-25 08:00:00,1692,1.08268,sl,-0.002806465058120769
2016-01-28 20:00:00,1713,1.09408,1,2016-01-29 04:00:00,1715,1.09285,sl,-0.0011242322316465363
2016-02-16 20:00:00,1794,1.11416,-1,2016-02-17 04:00:00,1796,1.11677,sl,-0.0023425719824800755
2016-03-07 16:00:00,1880,1.10032,1,2016-03-08 08:00:00,1884,1.10277,tp,0.002226624981823527
2016-03-25 00:00:00,1961,1.11641,-1,2016-03-28 16:00:00,1971,1.1208,sl,-0.003932247113515748
2016-03-30 16:00:00,1983,1.13293,1,2016-03-31 12:00:00,1988,1.13873,tp,0.005119468987492632
2016-04-13 20:00:00,2046,1.12797,-1,2016-04-14 08:00:00,2049,1.1253,tp,0.0023670842309635454
2016-04-21 12:00:00,2081,1.13278,1,2016-04-21 16:00:00,2082,1.12994,tp,-0.0025071064107769856
2016-04-25 00:00:00,2091,1.12307,-1,2016-04-25 08:00:00,2093,1.12541,sl,-0.0020835744877879462
2016-04-28 20:00:00,2114,1.13546,1,2016-04-29 08:00:00,2117,1.13782,tp,0.0020784527856552762
2016-05-09 12:00:00,2156,1.13812,-1,2016-05-09 16:00:00,2157,1.14011,sl,-0.0017484975222295859
2016-06-03 00:00:00,2270,1.11512,1,2016-06-03 16:00:00,2274,1.13273,tp,0.01579202238324138
2016-06-14 04:00:00,2315,1.12932,-1,2016-06-14 08:00:00,2316,1.12506,tp,0.0037721814897461767
2016-06-21 00:00:00,2345,1.13213,1,2016-06-21 16:00:00,2349,1.12609,sl,-0.0053350763604886765
2016-06-24 16:00:00,2367,1.11209,-1,2016-06-24 20:00:00,2368,1.10864,sl,0.0031022669028585395
